investor_id,avg_gap_days,total_transactions,risk_flag
INV000001,38.0,3,At Risk
INV000002,82.8,6,At Risk
INV000003,238.0,2,At Risk
INV000004,53.375,9,At Risk
INV000005,52.0,8,At Risk
INV000006,99.0,6,At Risk
INV000007,104.5,5,At Risk
INV000008,50.285714285714285,8,At Risk
INV000009,80.83333333333333,7,At Risk
INV000010,32.8,11,Regular
INV000011,45.2,11,At Risk
INV000012,41.4,11,At Risk
INV000013,36.888888888888886,10,At Risk
INV000014,47.1,11,At Risk
INV000015,127.0,2,At Risk
INV000016,87.5,3,At Risk
INV000017,131.33333333333334,4,At Risk
INV000018,110.33333333333333,4,At Risk
INV000019,136.66666666666666,4,At Risk
INV000020,57.8,6,At Risk
INV000021,75.4,6,At Risk
INV000022,95.8,6,At Risk
INV000023,45.55555555555556,10,At Risk
INV000024,43.285714285714285,8,At Risk
INV000025,,1,Regular
INV000026,72.33333333333333,7,At Risk
INV000027,58.5,7,At Risk
INV000028,58.5,9,At Risk
INV000029,36.4,11,At Risk
INV000030,38.27272727272727,12,At Risk
INV000031,85.0,6,At Risk
INV000032,67.71428571428571,8,At Risk
INV000033,46.2,11,At Risk
INV000034,52.0,3,At Risk
INV000035,144.0,2,At Risk
INV000036,99.0,2,At Risk
INV000037,62.5,5,At Risk
INV000038,64.16666666666667,7,At Risk
INV000039,52.857142857142854,8,At Risk
INV000040,51.55555555555556,10,At Risk
INV000041,68.6,6,At Risk
INV000042,17.0,5,Regular
INV000043,181.0,3,At Risk
INV000044,89.0,6,At Risk
INV000045,39.22222222222222,10,At Risk
INV000046,72.0,7,At Risk
INV000047,60.5,5,At Risk
INV000048,36.8,11,At Risk
INV000049,247.5,3,At Risk
INV000050,71.5,3,At Risk
INV000051,63.2,6,At Risk
INV000052,46.0,10,At Risk
INV000053,7.0,2,Regular
INV000054,56.0,7,At Risk
INV000055,36.36363636363637,12,At Risk
INV000056,66.85714285714286,8,At Risk
INV000057,34.8,11,Regular
INV000058,56.833333333333336,7,At Risk
INV000059,,1,Regular
INV000060,90.0,2,At Risk
INV000061,67.25,5,At Risk
INV000062,66.28571428571429,8,At Risk
INV000063,218.0,3,At Risk
INV000064,,1,Regular
INV000065,91.8,6,At Risk
INV000066,40.833333333333336,7,At Risk
INV000067,,1,Regular
INV000068,,1,Regular
INV000069,40.18181818181818,12,At Risk
INV000070,113.66666666666667,4,At Risk
INV000071,14.333333333333334,7,Regular
INV000072,46.666666666666664,10,At Risk
INV000073,45.666666666666664,10,At Risk
INV000074,50.8,11,At Risk
INV000075,62.333333333333336,7,At Risk
INV000076,58.375,9,At Risk
INV000077,87.0,2,At Risk
INV000078,153.0,4,At Risk
INV000079,56.125,9,At Risk
INV000080,60.75,5,At Risk
INV000081,48.8,11,At Risk
INV000082,62.75,9,At Risk
INV000083,180.0,2,At Risk
INV000084,76.5,7,At Risk
INV000085,52.142857142857146,8,At Risk
INV000086,36.54545454545455,12,At Risk
INV000087,51.55555555555556,10,At Risk
INV000088,23.333333333333332,4,Regular
INV000089,49.1,11,At Risk
INV000090,48.5,7,At Risk
INV000091,45.63636363636363,12,At Risk
INV000092,89.25,5,At Risk
INV000093,49.333333333333336,10,At Risk
INV000094,44.8,11,At Risk
INV000095,52.375,9,At Risk
INV000096,2.0,2,Regular
INV000097,45.7,11,At Risk
INV000098,66.83333333333333,7,At Risk
INV000099,52.42857142857143,8,At Risk
INV000100,61.42857142857143,8,At Risk
INV000101,42.18181818181818,12,At Risk
INV000102,45.7,11,At Risk
INV000103,63.857142857142854,8,At Risk
